Fiscal Year,Region,Gender,Race/Ethnicity,Age Group,Disabling Condition,Children in Adoption Placements
2019,1-Lubbock,Female,Hispanic,Birth to Five Years Old,Medically Involved,1
2019,1-Lubbock,Female,Hispanic,Thirteen to Seventeen Years Old,Medically Involved,1
2019,1-Lubbock,Male,African American,Birth to Five Years Old,Medically Involved,2
2019,1-Lubbock,Male,Anglo,Birth to Five Years Old,Medically Involved,4
2019,1-Lubbock,Male,Hispanic,Birth to Five Years Old,Medically Involved,2
2019,1-Lubbock,Male,Hispanic,Six to Twelve Years Old,Medically Involved,1
2019,1-Lubbock,Male,Hispanic,Thirteen to Seventeen Years Old,Medically Involved,1
2019,1-Lubbock,Male,African American,Six to Twelve Years Old,Physical,1
2019,1-Lubbock,Male,Anglo,Birth to Five Years Old,Physical,3
2019,1-Lubbock,Male,Anglo,Six to Twelve Years Old,Physical,1
2019,1-Lubbock,Male,Hispanic,Six to Twelve Years Old,Physical,1
2019,2-Abilene,Female,Anglo,Birth to Five Years Old,Drug or Alcohol,7
2019,2-Abilene,Female,Anglo,Thirteen to Seventeen Years Old,Drug or Alcohol,1
2019,2-Abilene,Female,Hispanic,Birth to Five Years Old,Drug or Alcohol,5
2019,2-Abilene,Female,Unknown,Birth to Five Years Old,Drug or Alcohol,1
2019,2-Abilene,Male,African American,Birth to Five Years Old,Drug or Alcohol,1
2019,2-Abilene,Male,Anglo,Birth to Five Years Old,Drug or Alcohol,10
2019,2-Abilene,Male,Hispanic,Birth to Five Years Old,Drug or Alcohol,4
2019,2-Abilene,Male,Other,Six to Twelve Years Old,Drug or Alcohol,1
2019,2-Abilene,Female,Anglo,Six to Twelve Years Old,Emotionally Disturbed,2
2019,2-Abilene,Female,Anglo,Thirteen to Seventeen Years Old,Emotionally Disturbed,4
2019,2-Abilene,Female,Hispanic,Birth to Five Years Old,Emotionally Disturbed,2
2019,2-Abilene,Female,Hispanic,Six to Twelve Years Old,Emotionally Disturbed,2
2019,2-Abilene,Female,Other,Thirteen to Seventeen Years Old,Emotionally Disturbed,1
2019,2-Abilene,Male,Anglo,Birth to Five Years Old,Emotionally Disturbed,1
2019,2-Abilene,Male,Anglo,Six to Twelve Years Old,Emotionally Disturbed,2
2019,2-Abilene,Male,Anglo,,Emotionally Disturbed,1
2019,2-Abilene,Male,Hispanic,Birth to Five Years Old,Emotionally Disturbed,1
2019,2-Abilene,Male,Other,Six to Twelve Years Old,Emotionally Disturbed,2
2019,2-Abilene,Female,Anglo,Birth to Five Years Old,Learning Disability,2
2019,2-Abilene,Female,Anglo,Six to Twelve Years Old,Learning Disability,5
2019,2-Abilene,Female,Anglo,Thirteen to Seventeen Years Old,Learning Disability,2
2019,2-Abilene,Female,Hispanic,Birth to Five Years Old,Learning Disability,1
2019,2-Abilene,Female,Hispanic,Six to Twelve Years Old,Learning Disability,3
2019,2-Abilene,Male,Anglo,Birth to Five Years Old,Learning Disability,1
2019,2-Abilene,Male,Anglo,Six to Twelve Years Old,Learning Disability,3
2019,2-Abilene,Male,Hispanic,Birth to Five Years Old,Learning Disability,3
2019,2-Abilene,Male,Hispanic,Thirteen to Seventeen Years Old,Learning Disability,1
2019,2-Abilene,Male,Other,Six to Twelve Years Old,Learning Disability,4
2019,2-Abilene,Female,Anglo,Birth to Five Years Old,Medically Involved,1
2019,2-Abilene,Female,Anglo,Six to Twelve Years Old,Medically Involved,2
2019,2-Abilene,Female,Anglo,Thirteen to Seventeen Years Old,Medically Involved,1
2019,2-Abilene,Female,Hispanic,Birth to Five Years Old,Medically Involved,2
2019,2-Abilene,Female,Hispanic,Six to Twelve Years Old,Medically Involved,1
2019,2-Abilene,Male,Anglo,Birth to Five Years Old,Medically Involved,3
2019,2-Abilene,Male,Anglo,Six to Twelve Years Old,Medically Involved,1
2019,2-Abilene,Male,Hispanic,Birth to Five Years Old,Medically Involved,4
2019,2-Abilene,Male,Hispanic,Thirteen to Seventeen Years Old,Medically Involved,1
2019,2-Abilene,Male,Other,Birth to Five Years Old,Medically Involved,1
2019,2-Abilene,Female,Anglo,Birth to Five Years Old,Physical,1
2019,3-Arlington,Female,African American,Birth to Five Years Old,Drug or Alcohol,8
2019,3-Arlington,Female,African American,Six to Twelve Years Old,Drug or Alcohol,1
2019,3-Arlington,Female,Anglo,Birth to Five Years Old,Drug or Alcohol,25
2019,3-Arlington,Female,Anglo,Six to Twelve Years Old,Drug or Alcohol,3
2019,3-Arlington,Female,Asian,Thirteen to Seventeen Years Old,Drug or Alcohol,1
2019,3-Arlington,Female,Hispanic,Birth to Five Years Old,Drug or Alcohol,11
2019,3-Arlington,Female,Hispanic,Six to Twelve Years Old,Drug or Alcohol,1
2019,3-Arlington,Female,Other,Birth to Five Years Old,Drug or Alcohol,5
2019,3-Arlington,Female,Other,Six to Twelve Years Old,Drug or Alcohol,2
2019,3-Arlington,Female,Unknown,Birth to Five Years Old,Drug or Alcohol,3
2019,3-Arlington,Male,African American,Birth to Five Years Old,Drug or Alcohol,14
2019,3-Arlington,Male,African American,Six to Twelve Years Old,Drug or Alcohol,1
2019,3-Arlington,Male,African American,Thirteen to Seventeen Years Old,Drug or Alcohol,1
2019,3-Arlington,Male,Anglo,Birth to Five Years Old,Drug or Alcohol,23
2019,3-Arlington,Male,Anglo,Six to Twelve Years Old,Drug or Alcohol,1
2019,3-Arlington,Male,Anglo,Thirteen to Seventeen Years Old,Drug or Alcohol,1
2019,3-Arlington,Male,Hispanic,Birth to Five Years Old,Drug or Alcohol,14
2019,3-Arlington,Male,Hispanic,Thirteen to Seventeen Years Old,Drug or Alcohol,1
2019,3-Arlington,Male,Other,Birth to Five Years Old,Drug or Alcohol,5
2019,3-Arlington,Male,Other,Six to Twelve Years Old,Drug or Alcohol,1
2019,3-Arlington,Male,Unknown,Birth to Five Years Old,Drug or Alcohol,1
2019,3-Arlington,Female,African American,Birth to Five Years Old,Emotionally Disturbed,2
2019,3-Arlington,Female,African American,Six to Twelve Years Old,Emotionally Disturbed,4
2019,3-Arlington,Female,African American,Thirteen to Seventeen Years Old,Emotionally Disturbed,1
2019,3-Arlington,Female,Anglo,Birth to Five Years Old,Emotionally Disturbed,1
2019,3-Arlington,Female,Anglo,Six to Twelve Years Old,Emotionally Disturbed,5
2019,3-Arlington,Female,Anglo,Thirteen to Seventeen Years Old,Emotionally Disturbed,3
2019,3-Arlington,Female,Hispanic,Birth to Five Years Old,Emotionally Disturbed,3
2019,3-Arlington,Female,Hispanic,Six to Twelve Years Old,Emotionally Disturbed,3
2019,3-Arlington,Female,Hispanic,Thirteen to Seventeen Years Old,Emotionally Disturbed,5
2019,3-Arlington,Female,Other,Six to Twelve Years Old,Emotionally Disturbed,4
2019,3-Arlington,Male,African American,Six to Twelve Years Old,Emotionally Disturbed,9
2019,3-Arlington,Male,African American,Thirteen to Seventeen Years Old,Emotionally Disturbed,4
2019,3-Arlington,Male,Anglo,Birth to Five Years Old,Emotionally Disturbed,3
2019,3-Arlington,Male,Anglo,Six to Twelve Years Old,Emotionally Disturbed,9
2019,3-Arlington,Male,Anglo,Thirteen to Seventeen Years Old,Emotionally Disturbed,5
2019,3-Arlington,Male,Hispanic,Birth to Five Years Old,Emotionally Disturbed,2
2019,3-Arlington,Male,Hispanic,Six to Twelve Years Old,Emotionally Disturbed,5
2019,3-Arlington,Male,Hispanic,Thirteen to Seventeen Years Old,Emotionally Disturbed,2
2019,3-Arlington,Male,Other,Birth to Five Years Old,Emotionally Disturbed,1
2019,3-Arlington,Male,Other,Six to Twelve Years Old,Emotionally Disturbed,3
2019,3-Arlington,Male,Other,Thirteen to Seventeen Years Old,Emotionally Disturbed,1
2019,3-Arlington,Female,African American,Birth to Five Years Old,Learning Disability,5
2019,3-Arlington,Female,African American,Six to Twelve Years Old,Learning Disability,9
2019,3-Arlington,Female,African American,Thirteen to Seventeen Years Old,Learning Disability,1
2019,3-Arlington,Female,Anglo,Birth to Five Years Old,Learning Disability,11
2019,3-Arlington,Female,Anglo,Six to Twelve Years Old,Learning Disability,10
2019,3-Arlington,Female,Anglo,Thirteen to Seventeen Years Old,Learning Disability,5
2019,3-Arlington,Female,Hispanic,Birth to Five Years Old,Learning Disability,2
2019,3-Arlington,Female,Hispanic,Six to Twelve Years Old,Learning Disability,1
2019,3-Arlington,Female,Hispanic,Thirteen to Seventeen Years Old,Learning Disability,2
2019,3-Arlington,Female,Other,Birth to Five Years Old,Learning Disability,1
2019,3-Arlington,Female,Other,Six to Twelve Years Old,Learning Disability,4
2019,3-Arlington,Female,Other,Thirteen to Seventeen Years Old,Learning Disability,1
2019,3-Arlington,Male,African American,Birth to Five Years Old,Learning Disability,3
2019,3-Arlington,Male,African American,Six to Twelve Years Old,Learning Disability,11
2019,3-Arlington,Male,African American,Thirteen to Seventeen Years Old,Learning Disability,3
2019,3-Arlington,Male,Anglo,Birth to Five Years Old,Learning Disability,12
2019,3-Arlington,Male,Anglo,Six to Twelve Years Old,Learning Disability,23
2019,3-Arlington,Male,Anglo,Thirteen to Seventeen Years Old,Learning Disability,6
2019,3-Arlington,Male,Hispanic,Birth to Five Years Old,Learning Disability,3
2019,3-Arlington,Male,Hispanic,Six to Twelve Years Old,Learning Disability,8
2019,3-Arlington,Male,Hispanic,Thirteen to Seventeen Years Old,Learning Disability,4
2019,3-Arlington,Male,Other,Birth to Five Years Old,Learning Disability,1
2019,3-Arlington,Male,Other,Six to Twelve Years Old,Learning Disability,2
2019,3-Arlington,Male,Unknown,Six to Twelve Years Old,Learning Disability,1
2019,3-Arlington,Female,African American,Birth to Five Years Old,Medically Involved,2
2019,3-Arlington,Female,African American,Six to Twelve Years Old,Medically Involved,3
2019,3-Arlington,Female,Anglo,Birth to Five Years Old,Medically Involved,6
2019,3-Arlington,Female,Anglo,Six to Twelve Years Old,Medically Involved,1
2019,3-Arlington,Female,Hispanic,Birth to Five Years Old,Medically Involved,1
2019,3-Arlington,Female,Hispanic,Six to Twelve Years Old,Medically Involved,3
2019,3-Arlington,Female,Other,Birth to Five Years Old,Medically Involved,2
2019,3-Arlington,Female,Other,Six to Twelve Years Old,Medically Involved,1
2019,3-Arlington,Male,African American,Birth to Five Years Old,Medically Involved,8
2019,3-Arlington,Male,African American,Six to Twelve Years Old,Medically Involved,3
2019,3-Arlington,Male,African American,Thirteen to Seventeen Years Old,Medically Involved,2
2019,3-Arlington,Male,Anglo,Birth to Five Years Old,Medically Involved,7
2019,3-Arlington,Male,Anglo,Six to Twelve Years Old,Medically Involved,2
2019,3-Arlington,Male,Hispanic,Birth to Five Years Old,Medically Involved,2
2019,3-Arlington,Male,Hispanic,Six to Twelve Years Old,Medically Involved,2
2019,3-Arlington,Male,Other,Birth to Five Years Old,Medically Involved,1
2019,3-Arlington,Male,Other,Six to Twelve Years Old,Medically Involved,2
2019,3-Arlington,Male,Other,Thirteen to Seventeen Years Old,Medically Involved,1
2019,3-Arlington,Female,African American,Six to Twelve Years Old,Physical,2
2019,3-Arlington,Female,Anglo,Birth to Five Years Old,Physical,1
2019,3-Arlington,Male,African American,Birth to Five Years Old,Physical,2
2019,3-Arlington,Male,Anglo,Birth to Five Years Old,Physical,2
2019,3-Arlington,Male,Anglo,Six to Twelve Years Old,Physical,2
2019,3-Arlington,Male,Hispanic,Birth to Five Years Old,Physical,2
2019,3-Arlington,Male,Other,Six to Twelve Years Old,Physical,1
2019,4-Tyler,Female,African American,Birth to Five Years Old,Drug or Alcohol,3
2019,4-Tyler,Female,Anglo,Birth to Five Years Old,Drug or Alcohol,11
2019,4-Tyler,Female,Anglo,Thirteen to Seventeen Years Old,Drug or Alcohol,1
2019,4-Tyler,Female,Hispanic,Birth to Five Years Old,Drug or Alcohol,1
2019,4-Tyler,Female,Other,Birth to Five Years Old,Drug or Alcohol,3
2019,4-Tyler,Male,African American,Birth to Five Years Old,Drug or Alcohol,7
2019,4-Tyler,Male,Anglo,Birth to Five Years Old,Drug or Alcohol,9
2019,4-Tyler,Male,Anglo,Six to Twelve Years Old,Drug or Alcohol,1
2019,4-Tyler,Male,Other,Birth to Five Years Old,Drug or Alcohol,1
2019,4-Tyler,Male,Unknown,Birth to Five Years Old,Drug or Alcohol,1
2019,4-Tyler,Female,African American,Six to Twelve Years Old,Emotionally Disturbed,1
2019,4-Tyler,Female,Anglo,Six to Twelve Years Old,Emotionally Disturbed,4
2019,4-Tyler,Female,Anglo,Thirteen to Seventeen Years Old,Emotionally Disturbed,5
2019,4-Tyler,Female,Hispanic,Thirteen to Seventeen Years Old,Emotionally Disturbed,1
2019,4-Tyler,Male,African American,Birth to Five Years Old,Emotionally Disturbed,2
2019,4-Tyler,Male,Anglo,Six to Twelve Years Old,Emotionally Disturbed,7
2019,4-Tyler,Male,Anglo,Thirteen to Seventeen Years Old,Emotionally Disturbed,2
2019,4-Tyler,Male,Hispanic,Six to Twelve Years Old,Emotionally Disturbed,1
2019,4-Tyler,Male,Other,Thirteen to Seventeen Years Old,Emotionally Disturbed,1
2019,4-Tyler,Female,African American,Six to Twelve Years Old,Learning Disability,1
2019,4-Tyler,Female,Anglo,Birth to Five Years Old,Learning Disability,6
2019,4-Tyler,Female,Anglo,Six to Twelve Years Old,Learning Disability,2
2019,4-Tyler,Female,Anglo,Thirteen to Seventeen Years Old,Learning Disability,2
2019,4-Tyler,Female,Hispanic,Birth to Five Years Old,Learning Disability,1
2019,4-Tyler,Male,African American,Birth to Five Years Old,Learning Disability,4
2019,4-Tyler,Male,African American,Six to Twelve Years Old,Learning Disability,1
2019,4-Tyler,Male,Anglo,Birth to Five Years Old,Learning Disability,6
2019,4-Tyler,Male,Anglo,Six to Twelve Years Old,Learning Disability,8
2019,4-Tyler,Male,Hispanic,Birth to Five Years Old,Learning Disability,1
2019,4-Tyler,Male,Hispanic,Six to Twelve Years Old,Learning Disability,2
2019,4-Tyler,Male,Hispanic,Thirteen to Seventeen Years Old,Learning Disability,1
2019,4-Tyler,Female,African American,Birth to Five Years Old,Medically Involved,2
2019,4-Tyler,Female,Anglo,Birth to Five Years Old,Medically Involved,4
2019,4-Tyler,Female,Hispanic,Birth to Five Years Old,Medically Involved,1
2019,4-Tyler,Male,African American,Birth to Five Years Old,Medically Involved,6
2019,4-Tyler,Male,Anglo,Birth to Five Years Old,Medically Involved,11
2019,4-Tyler,Male,Anglo,Six to Twelve Years Old,Medically Involved,1
2019,4-Tyler,Male,Hispanic,Birth to Five Years Old,Medically Involved,1
2019,4-Tyler,Male,Other,Birth to Five Years Old,Medically Involved,1
2019,4-Tyler,Male,Unknown,Birth to Five Years Old,Medically Involved,1
2019,4-Tyler,Female,Anglo,Birth to Five Years Old,Physical,1
2019,4-Tyler,Male,Hispanic,Birth to Five Years Old,Physical,1
2019,5-Beaumont,Female,African American,Birth to Five Years Old,Drug or Alcohol,7
2019,5-Beaumont,Female,African American,Six to Twelve Years Old,Drug or Alcohol,1
2019,5-Beaumont,Female,Anglo,Birth to Five Years Old,Drug or Alcohol,9
2019,5-Beaumont,Female,Hispanic,Birth to Five Years Old,Drug or Alcohol,1
2019,5-Beaumont,Female,Hispanic,Six to Twelve Years Old,Drug or Alcohol,1
2019,5-Beaumont,Male,African American,Birth to Five Years Old,Drug or Alcohol,5
2019,5-Beaumont,Male,African American,Six to Twelve Years Old,Drug or Alcohol,1
2019,5-Beaumont,Male,Anglo,Birth to Five Years Old,Drug or Alcohol,10
2019,5-Beaumont,Male,Anglo,Six to Twelve Years Old,Drug or Alcohol,1
2019,5-Beaumont,Male,Hispanic,Birth to Five Years Old,Drug or Alcohol,1
2019,5-Beaumont,Male,Other,Birth to Five Years Old,Drug or Alcohol,1
2019,5-Beaumont,Female,African American,Six to Twelve Years Old,Emotionally Disturbed,1
2019,5-Beaumont,Female,Anglo,Birth to Five Years Old,Emotionally Disturbed,1
2019,5-Beaumont,Female,Anglo,Six to Twelve Years Old,Emotionally Disturbed,4
2019,5-Beaumont,Female,Anglo,Thirteen to Seventeen Years Old,Emotionally Disturbed,1
2019,5-Beaumont,Female,Hispanic,,Emotionally Disturbed,1
2019,5-Beaumont,Female,Other,Six to Twelve Years Old,Emotionally Disturbed,1
2019,5-Beaumont,Male,African American,Birth to Five Years Old,Emotionally Disturbed,2
2019,5-Beaumont,Male,African American,Six to Twelve Years Old,Emotionally Disturbed,3
2019,5-Beaumont,Male,African American,Thirteen to Seventeen Years Old,Emotionally Disturbed,1
2019,5-Beaumont,Male,Anglo,Birth to Five Years Old,Emotionally Disturbed,1
2019,5-Beaumont,Male,Anglo,Six to Twelve Years Old,Emotionally Disturbed,3
2019,5-Beaumont,Male,Anglo,Thirteen to Seventeen Years Old,Emotionally Disturbed,1
2019,5-Beaumont,Male,Hispanic,Six to Twelve Years Old,Emotionally Disturbed,1
2019,5-Beaumont,Female,African American,Birth to Five Years Old,Learning Disability,1
2019,5-Beaumont,Female,African American,Six to Twelve Years Old,Learning Disability,1
2019,5-Beaumont,Female,Anglo,Birth to Five Years Old,Learning Disability,3
2019,5-Beaumont,Female,Anglo,Six to Twelve Years Old,Learning Disability,10
2019,5-Beaumont,Female,Other,Six to Twelve Years Old,Learning Disability,1
2019,5-Beaumont,Male,African American,Birth to Five Years Old,Learning Disability,3
2019,5-Beaumont,Male,African American,Six to Twelve Years Old,Learning Disability,3
2019,5-Beaumont,Male,African American,Thirteen to Seventeen Years Old,Learning Disability,1
2019,5-Beaumont,Male,Anglo,Birth to Five Years Old,Learning Disability,4
2019,5-Beaumont,Male,Anglo,Six to Twelve Years Old,Learning Disability,3
2019,5-Beaumont,Male,Anglo,Thirteen to Seventeen Years Old,Learning Disability,3
2019,5-Beaumont,Male,Other,Six to Twelve Years Old,Learning Disability,1
2019,5-Beaumont,Female,African American,Birth to Five Years Old,Medically Involved,1
2019,5-Beaumont,Female,Anglo,Birth to Five Years Old,Medically Involved,6
2019,5-Beaumont,Female,Anglo,Six to Twelve Years Old,Medically Involved,3
2019,5-Beaumont,Female,Hispanic,Birth to Five Years Old,Medically Involved,1
2019,5-Beaumont,Male,African American,Six to Twelve Years Old,Medically Involved,3
2019,5-Beaumont,Male,African American,Thirteen to Seventeen Years Old,Medically Involved,1
2019,5-Beaumont,Male,Anglo,Birth to Five Years Old,Medically Involved,6
2019,5-Beaumont,Female,Anglo,Birth to Five Years Old,Physical,1
2019,5-Beaumont,Female,Anglo,Six to Twelve Years Old,Physical,2
2019,5-Beaumont,Male,African American,Six to Twelve Years Old,Physical,1
2019,5-Beaumont,Male,Anglo,Birth to Five Years Old,Physical,1
2019,6-Houston,Female,African American,Birth to Five Years Old,Drug or Alcohol,12
2019,6-Houston,Female,African American,Thirteen to Seventeen Years Old,Drug or Alcohol,2
2019,6-Houston,Female,Anglo,Birth to Five Years Old,Drug or Alcohol,14
2019,6-Houston,Female,Anglo,Six to Twelve Years Old,Drug or Alcohol,3
2019,6-Houston,Female,Hispanic,Birth to Five Years Old,Drug or Alcohol,7
2019,6-Houston,Female,Hispanic,Thirteen to Seventeen Years Old,Drug or Alcohol,1
2019,6-Houston,Female,Other,Birth to Five Years Old,Drug or Alcohol,1
2019,6-Houston,Female,Other,Thirteen to Seventeen Years Old,Drug or Alcohol,1
2019,6-Houston,Male,African American,Birth to Five Years Old,Drug or Alcohol,24
2019,6-Houston,Male,African American,Six to Twelve Years Old,Drug or Alcohol,2
2019,6-Houston,Male,African American,Thirteen to Seventeen Years Old,Drug or Alcohol,1
2019,6-Houston,Male,Anglo,Birth to Five Years Old,Drug or Alcohol,5
2019,6-Houston,Male,Anglo,Thirteen to Seventeen Years Old,Drug or Alcohol,1
2019,6-Houston,Male,Hispanic,Birth to Five Years Old,Drug or Alcohol,9
2019,6-Houston,Male,Hispanic,Six to Twelve Years Old,Drug or Alcohol,1
2019,6-Houston,Male,Other,Birth to Five Years Old,Drug or Alcohol,3
2019,6-Houston,Male,Unknown,Birth to Five Years Old,Drug or Alcohol,1
2019,6-Houston,Female,African American,Birth to Five Years Old,Emotionally Disturbed,3
2019,6-Houston,Female,African American,Six to Twelve Years Old,Emotionally Disturbed,8
2019,6-Houston,Female,African American,Thirteen to Seventeen Years Old,Emotionally Disturbed,4
2019,6-Houston,Female,Anglo,Birth to Five Years Old,Emotionally Disturbed,2
2019,6-Houston,Female,Anglo,Six to Twelve Years Old,Emotionally Disturbed,5
2019,6-Houston,Female,Anglo,Thirteen to Seventeen Years Old,Emotionally Disturbed,3
2019,6-Houston,Female,Hispanic,Birth to Five Years Old,Emotionally Disturbed,1
2019,6-Houston,Female,Hispanic,Six to Twelve Years Old,Emotionally Disturbed,6
2019,6-Houston,Female,Hispanic,Thirteen to Seventeen Years Old,Emotionally Disturbed,1
2019,6-Houston,Female,Other,Thirteen to Seventeen Years Old,Emotionally Disturbed,2
2019,6-Houston,Male,African American,Birth to Five Years Old,Emotionally Disturbed,6
2019,6-Houston,Male,African American,Six to Twelve Years Old,Emotionally Disturbed,7
2019,6-Houston,Male,African American,Thirteen to Seventeen Years Old,Emotionally Disturbed,2
2019,6-Houston,Male,Anglo,Birth to Five Years Old,Emotionally Disturbed,1
2019,6-Houston,Male,Anglo,Six to Twelve Years Old,Emotionally Disturbed,5
2019,6-Houston,Male,Anglo,Thirteen to Seventeen Years Old,Emotionally Disturbed,3
2019,6-Houston,Male,Asian,Thirteen to Seventeen Years Old,Emotionally Disturbed,1
2019,6-Houston,Male,Hispanic,Birth to Five Years Old,Emotionally Disturbed,2
2019,6-Houston,Male,Hispanic,Six to Twelve Years Old,Emotionally Disturbed,11
2019,6-Houston,Male,Hispanic,Thirteen to Seventeen Years Old,Emotionally Disturbed,2
2019,6-Houston,Male,Other,Thirteen to Seventeen Years Old,Emotionally Disturbed,3
2019,6-Houston,Female,African American,Birth to Five Years Old,Learning Disability,7
2019,6-Houston,Female,African American,Six to Twelve Years Old,Learning Disability,7
2019,6-Houston,Female,African American,Thirteen to Seventeen Years Old,Learning Disability,5
2019,6-Houston,Female,Anglo,Birth to Five Years Old,Learning Disability,15
2019,6-Houston,Female,Anglo,Six to Twelve Years Old,Learning Disability,3
2019,6-Houston,Female,Anglo,Thirteen to Seventeen Years Old,Learning Disability,4
2019,6-Houston,Female,Hispanic,Birth to Five Years Old,Learning Disability,4
2019,6-Houston,Female,Hispanic,Six to Twelve Years Old,Learning Disability,4
2019,6-Houston,Female,Hispanic,Thirteen to Seventeen Years Old,Learning Disability,3
2019,6-Houston,Female,Other,Thirteen to Seventeen Years Old,Learning Disability,1
2019,6-Houston,Male,African American,Birth to Five Years Old,Learning Disability,13
2019,6-Houston,Male,African American,Six to Twelve Years Old,Learning Disability,13
2019,6-Houston,Male,African American,Thirteen to Seventeen Years Old,Learning Disability,6
2019,6-Houston,Male,Anglo,Birth to Five Years Old,Learning Disability,11
2019,6-Houston,Male,Anglo,Six to Twelve Years Old,Learning Disability,6
2019,6-Houston,Male,Anglo,Thirteen to Seventeen Years Old,Learning Disability,4
2019,6-Houston,Male,Asian,Thirteen to Seventeen Years Old,Learning Disability,1
2019,6-Houston,Male,Hispanic,Birth to Five Years Old,Learning Disability,6
2019,6-Houston,Male,Hispanic,Six to Twelve Years Old,Learning Disability,21
2019,6-Houston,Male,Hispanic,Thirteen to Seventeen Years Old,Learning Disability,3
2019,6-Houston,Male,Other,Six to Twelve Years Old,Learning Disability,1
2019,6-Houston,Male,Other,Thirteen to Seventeen Years Old,Learning Disability,1
2019,6-Houston,Male,Unknown,Birth to Five Years Old,Learning Disability,1
2019,6-Houston,Female,African American,Birth to Five Years Old,Medically Involved,9
2019,6-Houston,Female,African American,Six to Twelve Years Old,Medically Involved,2
2019,6-Houston,Female,African American,Thirteen to Seventeen Years Old,Medically Involved,2
2019,6-Houston,Female,Anglo,Birth to Five Years Old,Medically Involved,10
2019,6-Houston,Female,Anglo,Six to Twelve Years Old,Medically Involved,3
2019,6-Houston,Female,Hispanic,Birth to Five Years Old,Medically Involved,7
2019,6-Houston,Female,Hispanic,Six to Twelve Years Old,Medically Involved,2
2019,6-Houston,Female,Hispanic,Thirteen to Seventeen Years Old,Medically Involved,1
2019,6-Houston,Male,African American,Birth to Five Years Old,Medically Involved,10
2019,6-Houston,Male,African American,Six to Twelve Years Old,Medically Involved,1
2019,6-Houston,Male,African American,Thirteen to Seventeen Years Old,Medically Involved,1
2019,6-Houston,Male,Anglo,Birth to Five Years Old,Medically Involved,7
