Fiscal Year,Region,Removal Stage,Gender,Race/Ethnicity,Age,Removals
2019,1-Lubbock,Family Preservation,Female,Hispanic,6,3
2019,1-Lubbock,Family Preservation,Female,Hispanic,7,2
2019,1-Lubbock,Family Preservation,Female,Hispanic,8,4
2019,1-Lubbock,Family Preservation,Female,Hispanic,9,3
2019,1-Lubbock,Family Preservation,Female,Hispanic,10,4
2019,1-Lubbock,Family Preservation,Female,Hispanic,11,1
2019,1-Lubbock,Family Preservation,Female,Hispanic,12,4
2019,1-Lubbock,Family Preservation,Female,Hispanic,13,4
2019,1-Lubbock,Family Preservation,Female,Hispanic,14,2
2019,1-Lubbock,Family Preservation,Female,Hispanic,15,5
2019,1-Lubbock,Family Preservation,Female,Hispanic,16,2
2019,1-Lubbock,Family Preservation,Female,Hispanic,17,2
2019,1-Lubbock,Family Preservation,Female,Other,0,2
2019,1-Lubbock,Family Preservation,Female,Other,1,1
2019,1-Lubbock,Family Preservation,Female,Other,2,1
2019,1-Lubbock,Family Preservation,Female,Other,3,0
2019,1-Lubbock,Family Preservation,Female,Other,4,0
2019,1-Lubbock,Family Preservation,Female,Other,5,0
2019,1-Lubbock,Family Preservation,Female,Other,6,2
2019,1-Lubbock,Family Preservation,Female,Other,8,1
2019,1-Lubbock,Family Preservation,Female,Other,9,0
2019,1-Lubbock,Family Preservation,Female,Other,10,1
2019,1-Lubbock,Family Preservation,Female,Other,11,0
2019,1-Lubbock,Family Preservation,Female,Other,12,0
2019,1-Lubbock,Family Preservation,Female,Other,13,0
2019,1-Lubbock,Family Preservation,Female,Other,14,0
2019,1-Lubbock,Family Preservation,Female,Other,16,0
2019,1-Lubbock,Family Preservation,Male,African American,0,0
2019,1-Lubbock,Family Preservation,Male,African American,1,0
2019,1-Lubbock,Family Preservation,Male,African American,2,0
2019,1-Lubbock,Family Preservation,Male,African American,3,0
2019,1-Lubbock,Family Preservation,Male,African American,4,0
2019,1-Lubbock,Family Preservation,Male,African American,5,1
2019,1-Lubbock,Family Preservation,Male,African American,6,1
2019,1-Lubbock,Family Preservation,Male,African American,7,0
2019,1-Lubbock,Family Preservation,Male,African American,8,0
2019,1-Lubbock,Family Preservation,Male,African American,9,1
2019,1-Lubbock,Family Preservation,Male,African American,10,1
2019,1-Lubbock,Family Preservation,Male,African American,12,0
2019,1-Lubbock,Family Preservation,Male,African American,13,0
2019,1-Lubbock,Family Preservation,Male,African American,14,1
2019,1-Lubbock,Family Preservation,Male,African American,15,0
2019,1-Lubbock,Family Preservation,Male,Anglo,0,3
2019,1-Lubbock,Family Preservation,Male,Anglo,1,4
2019,1-Lubbock,Family Preservation,Male,Anglo,2,1
2019,1-Lubbock,Family Preservation,Male,Anglo,3,0
2019,1-Lubbock,Family Preservation,Male,Anglo,4,0
2019,1-Lubbock,Family Preservation,Male,Anglo,5,1
2019,1-Lubbock,Family Preservation,Male,Anglo,6,1
2019,1-Lubbock,Family Preservation,Male,Anglo,7,0
2019,1-Lubbock,Family Preservation,Male,Anglo,8,1
2019,1-Lubbock,Family Preservation,Male,Anglo,9,1
2019,1-Lubbock,Family Preservation,Male,Anglo,10,1
2019,1-Lubbock,Family Preservation,Male,Anglo,11,2
2019,1-Lubbock,Family Preservation,Male,Anglo,12,0
2019,1-Lubbock,Family Preservation,Male,Anglo,13,0
2019,1-Lubbock,Family Preservation,Male,Anglo,14,1
2019,1-Lubbock,Family Preservation,Male,Anglo,15,1
2019,1-Lubbock,Family Preservation,Male,Anglo,16,0
2019,1-Lubbock,Family Preservation,Male,Anglo,17,0
2019,1-Lubbock,Family Preservation,Male,Asian,0,0
2019,1-Lubbock,Family Preservation,Male,Asian,1,0
2019,1-Lubbock,Family Preservation,Male,Asian,3,0
2019,1-Lubbock,Family Preservation,Male,Asian,4,0
2019,1-Lubbock,Family Preservation,Male,Asian,6,0
2019,1-Lubbock,Family Preservation,Male,Asian,7,0
2019,1-Lubbock,Family Preservation,Male,Asian,11,0
2019,1-Lubbock,Family Preservation,Male,Hispanic,0,8
2019,1-Lubbock,Family Preservation,Male,Hispanic,1,4
2019,1-Lubbock,Family Preservation,Male,Hispanic,2,5
2019,1-Lubbock,Family Preservation,Male,Hispanic,3,4
2019,1-Lubbock,Family Preservation,Male,Hispanic,4,2
2019,1-Lubbock,Family Preservation,Male,Hispanic,5,3
2019,1-Lubbock,Family Preservation,Male,Hispanic,6,7
2019,1-Lubbock,Family Preservation,Male,Hispanic,7,4
2019,1-Lubbock,Family Preservation,Male,Hispanic,8,0
2019,1-Lubbock,Family Preservation,Male,Hispanic,9,5
2019,1-Lubbock,Family Preservation,Male,Hispanic,10,1
2019,1-Lubbock,Family Preservation,Male,Hispanic,11,2
2019,1-Lubbock,Family Preservation,Male,Hispanic,12,2
2019,1-Lubbock,Family Preservation,Male,Hispanic,13,2
2019,1-Lubbock,Family Preservation,Male,Hispanic,14,3
2019,1-Lubbock,Family Preservation,Male,Hispanic,15,1
2019,1-Lubbock,Family Preservation,Male,Hispanic,16,0
2019,1-Lubbock,Family Preservation,Male,Hispanic,17,0
2019,1-Lubbock,Family Preservation,Male,Other,0,1
2019,1-Lubbock,Family Preservation,Male,Other,1,1
2019,1-Lubbock,Family Preservation,Male,Other,2,1
2019,1-Lubbock,Family Preservation,Male,Other,4,2
2019,1-Lubbock,Family Preservation,Male,Other,5,2
2019,1-Lubbock,Family Preservation,Male,Other,6,0
2019,1-Lubbock,Family Preservation,Male,Other,7,0
2019,1-Lubbock,Family Preservation,Male,Other,9,1
2019,1-Lubbock,Family Preservation,Male,Other,10,0
2019,1-Lubbock,Family Preservation,Male,Other,11,0
2019,1-Lubbock,Family Preservation,Male,Other,12,0
2019,1-Lubbock,Family Preservation,Male,Other,13,0
2019,1-Lubbock,Family Preservation,Male,Other,15,0
2019,1-Lubbock,Family Preservation,Male,Other,17,0
2019,1-Lubbock,Investigation,Female,African American,0,21
2019,1-Lubbock,Investigation,Female,African American,1,6
2019,1-Lubbock,Investigation,Female,African American,2,5
2019,1-Lubbock,Investigation,Female,African American,3,2
2019,1-Lubbock,Investigation,Female,African American,4,1
2019,1-Lubbock,Investigation,Female,African American,5,5
2019,1-Lubbock,Investigation,Female,African American,6,3
2019,1-Lubbock,Investigation,Female,African American,7,2
2019,1-Lubbock,Investigation,Female,African American,8,6
2019,1-Lubbock,Investigation,Female,African American,9,2
2019,1-Lubbock,Investigation,Female,African American,10,3
2019,1-Lubbock,Investigation,Female,African American,11,1
2019,1-Lubbock,Investigation,Female,African American,12,2
2019,1-Lubbock,Investigation,Female,African American,13,3
2019,1-Lubbock,Investigation,Female,African American,14,4
2019,1-Lubbock,Investigation,Female,African American,15,3
2019,1-Lubbock,Investigation,Female,African American,16,1
2019,1-Lubbock,Investigation,Female,Anglo,0,31
2019,1-Lubbock,Investigation,Female,Anglo,1,10
2019,1-Lubbock,Investigation,Female,Anglo,2,11
2019,1-Lubbock,Investigation,Female,Anglo,3,6
2019,1-Lubbock,Investigation,Female,Anglo,4,14
2019,1-Lubbock,Investigation,Female,Anglo,5,13
2019,1-Lubbock,Investigation,Female,Anglo,6,12
2019,1-Lubbock,Investigation,Female,Anglo,7,7
2019,1-Lubbock,Investigation,Female,Anglo,8,4
2019,1-Lubbock,Investigation,Female,Anglo,9,4
2019,1-Lubbock,Investigation,Female,Anglo,10,10
2019,1-Lubbock,Investigation,Female,Anglo,11,4
2019,1-Lubbock,Investigation,Female,Anglo,12,2
2019,1-Lubbock,Investigation,Female,Anglo,13,3
2019,1-Lubbock,Investigation,Female,Anglo,14,7
2019,1-Lubbock,Investigation,Female,Anglo,15,8
2019,1-Lubbock,Investigation,Female,Anglo,16,9
2019,1-Lubbock,Investigation,Female,Anglo,17,2
2019,1-Lubbock,Investigation,Female,Asian,1,1
2019,1-Lubbock,Investigation,Female,Asian,4,1
2019,1-Lubbock,Investigation,Female,Asian,6,1
2019,1-Lubbock,Investigation,Female,Asian,8,1
2019,1-Lubbock,Investigation,Female,Asian,9,1
2019,1-Lubbock,Investigation,Female,Asian,14,1
2019,1-Lubbock,Investigation,Female,Asian,15,1
2019,1-Lubbock,Investigation,Female,Hispanic,0,54
2019,1-Lubbock,Investigation,Female,Hispanic,1,29
2019,1-Lubbock,Investigation,Female,Hispanic,2,25
2019,1-Lubbock,Investigation,Female,Hispanic,3,17
2019,1-Lubbock,Investigation,Female,Hispanic,4,18
2019,1-Lubbock,Investigation,Female,Hispanic,5,11
2019,1-Lubbock,Investigation,Female,Hispanic,6,18
2019,1-Lubbock,Investigation,Female,Hispanic,7,10
2019,1-Lubbock,Investigation,Female,Hispanic,8,11
2019,1-Lubbock,Investigation,Female,Hispanic,9,12
2019,1-Lubbock,Investigation,Female,Hispanic,10,11
2019,1-Lubbock,Investigation,Female,Hispanic,11,13
2019,1-Lubbock,Investigation,Female,Hispanic,12,8
2019,1-Lubbock,Investigation,Female,Hispanic,13,11
2019,1-Lubbock,Investigation,Female,Hispanic,14,10
2019,1-Lubbock,Investigation,Female,Hispanic,15,6
2019,1-Lubbock,Investigation,Female,Hispanic,16,10
2019,1-Lubbock,Investigation,Female,Hispanic,17,4
2019,1-Lubbock,Investigation,Female,Other,0,11
2019,1-Lubbock,Investigation,Female,Other,1,5
2019,1-Lubbock,Investigation,Female,Other,2,6
2019,1-Lubbock,Investigation,Female,Other,3,3
2019,1-Lubbock,Investigation,Female,Other,4,3
2019,1-Lubbock,Investigation,Female,Other,5,3
2019,1-Lubbock,Investigation,Female,Other,6,4
2019,1-Lubbock,Investigation,Female,Other,8,1
2019,1-Lubbock,Investigation,Female,Other,9,2
2019,1-Lubbock,Investigation,Female,Other,10,1
2019,1-Lubbock,Investigation,Female,Other,11,2
2019,1-Lubbock,Investigation,Female,Other,12,1
2019,1-Lubbock,Investigation,Female,Other,13,1
2019,1-Lubbock,Investigation,Female,Other,14,2
2019,1-Lubbock,Investigation,Female,Other,16,2
2019,1-Lubbock,Investigation,Male,African American,0,11
2019,1-Lubbock,Investigation,Male,African American,1,3
2019,1-Lubbock,Investigation,Male,African American,2,6
2019,1-Lubbock,Investigation,Male,African American,3,1
2019,1-Lubbock,Investigation,Male,African American,4,3
2019,1-Lubbock,Investigation,Male,African American,5,2
2019,1-Lubbock,Investigation,Male,African American,6,3
2019,1-Lubbock,Investigation,Male,African American,7,1
2019,1-Lubbock,Investigation,Male,African American,8,2
2019,1-Lubbock,Investigation,Male,African American,9,2
2019,1-Lubbock,Investigation,Male,African American,10,2
2019,1-Lubbock,Investigation,Male,African American,12,6
2019,1-Lubbock,Investigation,Male,African American,13,3
2019,1-Lubbock,Investigation,Male,African American,14,1
2019,1-Lubbock,Investigation,Male,African American,15,1
2019,1-Lubbock,Investigation,Male,Anglo,0,39
2019,1-Lubbock,Investigation,Male,Anglo,1,19
2019,1-Lubbock,Investigation,Male,Anglo,2,15
2019,1-Lubbock,Investigation,Male,Anglo,3,10
2019,1-Lubbock,Investigation,Male,Anglo,4,8
2019,1-Lubbock,Investigation,Male,Anglo,5,11
2019,1-Lubbock,Investigation,Male,Anglo,6,8
2019,1-Lubbock,Investigation,Male,Anglo,7,2
2019,1-Lubbock,Investigation,Male,Anglo,8,10
2019,1-Lubbock,Investigation,Male,Anglo,9,7
2019,1-Lubbock,Investigation,Male,Anglo,10,9
2019,1-Lubbock,Investigation,Male,Anglo,11,9
2019,1-Lubbock,Investigation,Male,Anglo,12,5
2019,1-Lubbock,Investigation,Male,Anglo,13,9
2019,1-Lubbock,Investigation,Male,Anglo,14,4
2019,1-Lubbock,Investigation,Male,Anglo,15,0
2019,1-Lubbock,Investigation,Male,Anglo,16,3
2019,1-Lubbock,Investigation,Male,Anglo,17,3
2019,1-Lubbock,Investigation,Male,Asian,0,1
2019,1-Lubbock,Investigation,Male,Asian,1,2
2019,1-Lubbock,Investigation,Male,Asian,3,3
2019,1-Lubbock,Investigation,Male,Asian,4,1
2019,1-Lubbock,Investigation,Male,Asian,6,1
2019,1-Lubbock,Investigation,Male,Asian,7,1
2019,1-Lubbock,Investigation,Male,Asian,11,1
2019,1-Lubbock,Investigation,Male,Hispanic,0,58
2019,1-Lubbock,Investigation,Male,Hispanic,1,21
2019,1-Lubbock,Investigation,Male,Hispanic,2,17
2019,1-Lubbock,Investigation,Male,Hispanic,3,19
2019,1-Lubbock,Investigation,Male,Hispanic,4,15
2019,1-Lubbock,Investigation,Male,Hispanic,5,28
2019,1-Lubbock,Investigation,Male,Hispanic,6,8
2019,1-Lubbock,Investigation,Male,Hispanic,7,11
2019,1-Lubbock,Investigation,Male,Hispanic,8,8
2019,1-Lubbock,Investigation,Male,Hispanic,9,8
2019,1-Lubbock,Investigation,Male,Hispanic,10,11
2019,1-Lubbock,Investigation,Male,Hispanic,11,17
2019,1-Lubbock,Investigation,Male,Hispanic,12,13
2019,1-Lubbock,Investigation,Male,Hispanic,13,11
2019,1-Lubbock,Investigation,Male,Hispanic,14,12
2019,1-Lubbock,Investigation,Male,Hispanic,15,6
2019,1-Lubbock,Investigation,Male,Hispanic,16,5
2019,1-Lubbock,Investigation,Male,Hispanic,17,4
2019,1-Lubbock,Investigation,Male,Other,0,5
2019,1-Lubbock,Investigation,Male,Other,1,4
2019,1-Lubbock,Investigation,Male,Other,2,5
2019,1-Lubbock,Investigation,Male,Other,4,3
2019,1-Lubbock,Investigation,Male,Other,5,2
2019,1-Lubbock,Investigation,Male,Other,6,1
2019,1-Lubbock,Investigation,Male,Other,7,3
2019,1-Lubbock,Investigation,Male,Other,9,2
2019,1-Lubbock,Investigation,Male,Other,10,1
2019,1-Lubbock,Investigation,Male,Other,11,1
2019,1-Lubbock,Investigation,Male,Other,12,2
2019,1-Lubbock,Investigation,Male,Other,13,1
2019,1-Lubbock,Investigation,Male,Other,15,2
2019,1-Lubbock,Investigation,Male,Other,17,1
2019,2-Abilene,Family Preservation,Female,African American,0,2
2019,2-Abilene,Family Preservation,Female,African American,1,1
2019,2-Abilene,Family Preservation,Female,African American,2,4
2019,2-Abilene,Family Preservation,Female,African American,3,1
2019,2-Abilene,Family Preservation,Female,African American,4,1
2019,2-Abilene,Family Preservation,Female,African American,6,0
2019,2-Abilene,Family Preservation,Female,African American,7,2
2019,2-Abilene,Family Preservation,Female,African American,8,1
2019,2-Abilene,Family Preservation,Female,African American,9,1
2019,2-Abilene,Family Preservation,Female,African American,10,0
2019,2-Abilene,Family Preservation,Female,African American,11,0
2019,2-Abilene,Family Preservation,Female,African American,12,0
2019,2-Abilene,Family Preservation,Female,African American,13,0
2019,2-Abilene,Family Preservation,Female,African American,15,0
2019,2-Abilene,Family Preservation,Female,African American,16,0
2019,2-Abilene,Family Preservation,Female,African American,17,0
2019,2-Abilene,Family Preservation,Female,Anglo,0,10
2019,2-Abilene,Family Preservation,Female,Anglo,1,3
2019,2-Abilene,Family Preservation,Female,Anglo,2,4
2019,2-Abilene,Family Preservation,Female,Anglo,3,2
2019,2-Abilene,Family Preservation,Female,Anglo,4,3
2019,2-Abilene,Family Preservation,Female,Anglo,5,2
2019,2-Abilene,Family Preservation,Female,Anglo,6,2
2019,2-Abilene,Family Preservation,Female,Anglo,7,2
2019,2-Abilene,Family Preservation,Female,Anglo,8,0
2019,2-Abilene,Family Preservation,Female,Anglo,9,1
2019,2-Abilene,Family Preservation,Female,Anglo,10,0
2019,2-Abilene,Family Preservation,Female,Anglo,11,2
2019,2-Abilene,Family Preservation,Female,Anglo,12,3
2019,2-Abilene,Family Preservation,Female,Anglo,13,3
2019,2-Abilene,Family Preservation,Female,Anglo,14,3
2019,2-Abilene,Family Preservation,Female,Anglo,15,1
2019,2-Abilene,Family Preservation,Female,Anglo,16,1
2019,2-Abilene,Family Preservation,Female,Anglo,17,1
2019,2-Abilene,Family Preservation,Female,Hispanic,0,6
2019,2-Abilene,Family Preservation,Female,Hispanic,1,5
2019,2-Abilene,Family Preservation,Female,Hispanic,2,6
2019,2-Abilene,Family Preservation,Female,Hispanic,3,3
2019,2-Abilene,Family Preservation,Female,Hispanic,4,3
2019,2-Abilene,Family Preservation,Female,Hispanic,5,3
2019,2-Abilene,Family Preservation,Female,Hispanic,6,3
2019,2-Abilene,Family Preservation,Female,Hispanic,7,1
2019,2-Abilene,Family Preservation,Female,Hispanic,8,2
2019,2-Abilene,Family Preservation,Female,Hispanic,9,0
2019,2-Abilene,Family Preservation,Female,Hispanic,10,1
2019,2-Abilene,Family Preservation,Female,Hispanic,11,3
2019,2-Abilene,Family Preservation,Female,Hispanic,12,2
2019,2-Abilene,Family Preservation,Female,Hispanic,13,3
2019,2-Abilene,Family Preservation,Female,Hispanic,14,2
2019,2-Abilene,Family Preservation,Female,Hispanic,15,3
2019,2-Abilene,Family Preservation,Female,Hispanic,16,2
2019,2-Abilene,Family Preservation,Female,Hispanic,17,1
2019,2-Abilene,Family Preservation,Female,Other,0,1
2019,2-Abilene,Family Preservation,Female,Other,1,0
2019,2-Abilene,Family Preservation,Female,Other,2,2
2019,2-Abilene,Family Preservation,Female,Other,3,3
2019,2-Abilene,Family Preservation,Female,Other,4,1
2019,2-Abilene,Family Preservation,Female,Other,5,0
2019,2-Abilene,Family Preservation,Female,Other,7,1
2019,2-Abilene,Family Preservation,Female,Other,8,0
2019,2-Abilene,Family Preservation,Female,Other,10,1
2019,2-Abilene,Family Preservation,Female,Other,12,0
2019,2-Abilene,Family Preservation,Female,Other,14,0
2019,2-Abilene,Family Preservation,Female,Other,15,1
2019,2-Abilene,Family Preservation,Female,Other,16,1
2019,2-Abilene,Family Preservation,Male,African American,0,2
2019,2-Abilene,Family Preservation,Male,African American,1,2
2019,2-Abilene,Family Preservation,Male,African American,2,1
2019,2-Abilene,Family Preservation,Male,African American,3,0
2019,2-Abilene,Family Preservation,Male,African American,4,2
2019,2-Abilene,Family Preservation,Male,African American,5,1
2019,2-Abilene,Family Preservation,Male,African American,6,2
2019,2-Abilene,Family Preservation,Male,African American,7,1
2019,2-Abilene,Family Preservation,Male,African American,8,0
2019,2-Abilene,Family Preservation,Male,African American,9,2
2019,2-Abilene,Family Preservation,Male,African American,10,0
2019,2-Abilene,Family Preservation,Male,African American,12,1
2019,2-Abilene,Family Preservation,Male,African American,14,0
2019,2-Abilene,Family Preservation,Male,African American,16,0
2019,2-Abilene,Family Preservation,Male,Anglo,0,9
2019,2-Abilene,Family Preservation,Male,Anglo,1,2
2019,2-Abilene,Family Preservation,Male,Anglo,2,7
2019,2-Abilene,Family Preservation,Male,Anglo,3,1
2019,2-Abilene,Family Preservation,Male,Anglo,4,2
2019,2-Abilene,Family Preservation,Male,Anglo,5,3
2019,2-Abilene,Family Preservation,Male,Anglo,6,3
2019,2-Abilene,Family Preservation,Male,Anglo,7,3
2019,2-Abilene,Family Preservation,Male,Anglo,8,0
2019,2-Abilene,Family Preservation,Male,Anglo,9,1
2019,2-Abilene,Family Preservation,Male,Anglo,10,6
2019,2-Abilene,Family Preservation,Male,Anglo,11,0
2019,2-Abilene,Family Preservation,Male,Anglo,12,1
2019,2-Abilene,Family Preservation,Male,Anglo,13,5
2019,2-Abilene,Family Preservation,Male,Anglo,14,4
2019,2-Abilene,Family Preservation,Male,Anglo,15,1
2019,2-Abilene,Family Preservation,Male,Anglo,16,0
2019,2-Abilene,Family Preservation,Male,Anglo,17,3
2019,2-Abilene,Family Preservation,Male,Asian,0,0
2019,2-Abilene,Family Preservation,Male,Asian,5,0
2019,2-Abilene,Family Preservation,Male,Asian,6,0
2019,2-Abilene,Family Preservation,Male,Hispanic,0,5
2019,2-Abilene,Family Preservation,Male,Hispanic,1,2
2019,2-Abilene,Family Preservation,Male,Hispanic,2,2
2019,2-Abilene,Family Preservation,Male,Hispanic,3,4
2019,2-Abilene,Family Preservation,Male,Hispanic,4,2
2019,2-Abilene,Family Preservation,Male,Hispanic,5,2
2019,2-Abilene,Family Preservation,Male,Hispanic,6,4
2019,2-Abilene,Family Preservation,Male,Hispanic,7,0
2019,2-Abilene,Family Preservation,Male,Hispanic,8,1
2019,2-Abilene,Family Preservation,Male,Hispanic,9,0
2019,2-Abilene,Family Preservation,Male,Hispanic,10,2
2019,2-Abilene,Family Preservation,Male,Hispanic,11,1
2019,2-Abilene,Family Preservation,Male,Hispanic,12,5
2019,2-Abilene,Family Preservation,Male,Hispanic,13,1
2019,2-Abilene,Family Preservation,Male,Hispanic,14,1
2019,2-Abilene,Family Preservation,Male,Hispanic,15,0
2019,2-Abilene,Family Preservation,Male,Hispanic,16,0
2019,2-Abilene,Family Preservation,Male,Other,0,1
2019,2-Abilene,Family Preservation,Male,Other,1,3
2019,2-Abilene,Family Preservation,Male,Other,2,3
2019,2-Abilene,Family Preservation,Male,Other,3,0
2019,2-Abilene,Family Preservation,Male,Other,4,0
2019,2-Abilene,Family Preservation,Male,Other,5,1
2019,2-Abilene,Family Preservation,Male,Other,6,0
2019,2-Abilene,Family Preservation,Male,Other,8,0
2019,2-Abilene,Family Preservation,Male,Other,9,0
2019,2-Abilene,Family Preservation,Male,Other,10,1
2019,2-Abilene,Family Preservation,Male,Other,11,0
2019,2-Abilene,Family Preservation,Male,Other,13,1
2019,2-Abilene,Family Preservation,Male,Other,14,0
2019,2-Abilene,Investigation,Female,African American,0,8
2019,2-Abilene,Investigation,Female,African American,1,1
2019,2-Abilene,Investigation,Female,African American,2,2
2019,2-Abilene,Investigation,Female,African American,3,1
2019,2-Abilene,Investigation,Female,African American,4,1
2019,2-Abilene,Investigation,Female,African American,6,3
2019,2-Abilene,Investigation,Female,African American,7,1
2019,2-Abilene,Investigation,Female,African American,8,0
2019,2-Abilene,Investigation,Female,African American,9,0
2019,2-Abilene,Investigation,Female,African American,10,4
2019,2-Abilene,Investigation,Female,African American,11,2
2019,2-Abilene,Investigation,Female,African American,12,1
2019,2-Abilene,Investigation,Female,African American,13,2
2019,2-Abilene,Investigation,Female,African American,15,3
2019,2-Abilene,Investigation,Female,African American,16,1
2019,2-Abilene,Investigation,Female,African American,17,1
2019,2-Abilene,Investigation,Female,Anglo,0,40
2019,2-Abilene,Investigation,Female,Anglo,1,12
2019,2-Abilene,Investigation,Female,Anglo,2,13
2019,2-Abilene,Investigation,Female,Anglo,3,10
2019,2-Abilene,Investigation,Female,Anglo,4,8
2019,2-Abilene,Investigation,Female,Anglo,5,14
2019,2-Abilene,Investigation,Female,Anglo,6,11
2019,2-Abilene,Investigation,Female,Anglo,7,5
2019,2-Abilene,Investigation,Female,Anglo,8,9
2019,2-Abilene,Investigation,Female,Anglo,9,6
2019,2-Abilene,Investigation,Female,Anglo,10,8
2019,2-Abilene,Investigation,Female,Anglo,11,3
2019,2-Abilene,Investigation,Female,Anglo,12,7
2019,2-Abilene,Investigation,Female,Anglo,13,7
2019,2-Abilene,Investigation,Female,Anglo,14,6
2019,2-Abilene,Investigation,Female,Anglo,15,7
2019,2-Abilene,Investigation,Female,Anglo,16,2
2019,2-Abilene,Investigation,Female,Anglo,17,1
2019,2-Abilene,Investigation,Female,Hispanic,0,16
2019,2-Abilene,Investigation,Female,Hispanic,1,8
2019,2-Abilene,Investigation,Female,Hispanic,2,8
2019,2-Abilene,Investigation,Female,Hispanic,3,8
2019,2-Abilene,Investigation,Female,Hispanic,4,10
2019,2-Abilene,Investigation,Female,Hispanic,5,5
2019,2-Abilene,Investigation,Female,Hispanic,6,4
2019,2-Abilene,Investigation,Female,Hispanic,7,0
2019,2-Abilene,Investigation,Female,Hispanic,8,4
2019,2-Abilene,Investigation,Female,Hispanic,9,3
2019,2-Abilene,Investigation,Female,Hispanic,10,4
2019,2-Abilene,Investigation,Female,Hispanic,11,2
2019,2-Abilene,Investigation,Female,Hispanic,12,5
2019,2-Abilene,Investigation,Female,Hispanic,13,2
2019,2-Abilene,Investigation,Female,Hispanic,14,3
2019,2-Abilene,Investigation,Female,Hispanic,15,2
2019,2-Abilene,Investigation,Female,Hispanic,16,5
2019,2-Abilene,Investigation,Female,Hispanic,17,1
2019,2-Abilene,Investigation,Female,Other,0,8
2019,2-Abilene,Investigation,Female,Other,1,4
2019,2-Abilene,Investigation,Female,Other,2,3
2019,2-Abilene,Investigation,Female,Other,3,1
2019,2-Abilene,Investigation,Female,Other,4,1
2019,2-Abilene,Investigation,Female,Other,5,1
2019,2-Abilene,Investigation,Female,Other,7,0
2019,2-Abilene,Investigation,Female,Other,8,2
2019,2-Abilene,Investigation,Female,Other,10,0
2019,2-Abilene,Investigation,Female,Other,12,1
2019,2-Abilene,Investigation,Female,Other,14,1
2019,2-Abilene,Investigation,Female,Other,15,2
2019,2-Abilene,Investigation,Female,Other,16,1
2019,2-Abilene,Investigation,Male,African American,0,9
2019,2-Abilene,Investigation,Male,African American,1,2
2019,2-Abilene,Investigation,Male,African American,2,1
2019,2-Abilene,Investigation,Male,African American,3,3
2019,2-Abilene,Investigation,Male,African American,4,1
2019,2-Abilene,Investigation,Male,African American,5,3
2019,2-Abilene,Investigation,Male,African American,6,2
